time,HeartRate,SkinResponse
0,65,0.73
1,66,0.73
2,67,0.73
3,67,0.73
4,68,0.73
5,68,0.73
6,68,0.73
7,68,0.73
8,69,0.73
9,69,0.74
10,69,0.77
11,69,0.8
12,70,0.84
13,71,0.86
14,72,0.9
15,73,0.98
16,73,1.02
17,73,1.05
18,72,1.07
19,71,1.08
20,71,1.08
21,71,1.09
22,71,1.09
23,70,1.1
24,70,1.1
25,70,1.1
26,71,1.1
27,70,1.1
28,70,1.1
29,69,1.11
30,69,1.11
31,69,1.12
32,70,1.12
33,70,1.13
34,70,1.13
35,70,1.13
36,70,1.13
37,71,1.13
38,72,1.13
39,73,1.13
40,74,1.12
41,74,1.12
42,74,1.12
43,73,1.12
44,73,1.12
45,71,1.11
46,70,1.11
47,68,1.13
48,67,1.17
49,67,1.2
50,68,1.2
51,69,1.2
52,70,1.19
53,71,1.19
54,73,1.18
55,76,1.18
56,78,1.18
57,80,1.18
58,82,1.2
59,84,1.24
60,85,1.25
61,85,1.25
62,85,1.24
63,86,1.23
64,85,1.24
65,85,1.25
66,85,1.25
67,84,1.25
68,84,1.25
69,83,1.26
70,83,1.28
71,83,1.3
72,83,1.3
73,82,1.31
74,82,1.31
75,80,1.3
76,79,1.3
77,77,1.29
78,75,1.29
79,74,1.33
80,73,1.37
81,73,1.38
82,73,1.37
83,73,1.36
84,74,1.35
85,74,1.34
86,75,1.33
87,75,1.33
88,75,1.32
89,73,1.32
90,72,1.32
91,70,1.32
92,70,1.31
93,70,1.31
94,71,1.33
95,70,1.34
96,70,1.35
97,69,1.35
98,68,1.37
99,70,1.4
100,71,1.41
101,72,1.43
102,72,1.46
103,73,1.47
104,74,1.46
105,74,1.44
106,74,1.44
107,74,1.43
108,74,1.43
109,73,1.42
110,73,1.43
111,72,1.43
112,71,1.44
113,71,1.44
114,72,1.44
115,72,1.44
116,72,1.44
117,72,1.44
118,71,1.44
119,70,1.44
120,69,1.44
121,68,1.44
122,67,1.44
123,67,1.44
124,67,1.44
125,68,1.44
126,69,1.46
127,69,1.47
128,69,1.47
129,67,1.47
130,66,1.46
131,65,1.46
132,64,1.46
133,65,1.46
134,66,1.45
135,67,1.46
136,68,1.46
137,68,1.47
138,68,1.52
139,68,1.64
140,69,1.82
141,69,1.9
142,69,1.91
143,70,1.94
144,70,2.02
145,71,2.03
146,71,2.0
147,70,1.95
148,70,1.91
149,69,1.89
150,67,1.88
151,66,1.85
152,64,1.84
153,63,1.85
154,62,1.85
155,62,1.85
156,63,1.85
157,64,1.84
158,66,1.85
159,68,1.86
160,70,1.86
161,73,1.86
162,76,1.87
163,78,1.9
164,79,1.93
165,79,1.97
166,79,1.96
167,77,1.97
168,76,1.95
169,74,1.94
170,72,1.94
171,71,1.94
172,70,1.94
173,70,1.94
174,69,1.94
175,69,1.94
176,69,1.95
177,69,1.98
178,69,1.99
179,70,1.99
180,71,2.01
181,72,2.02
182,73,2.01
183,73,1.99
184,72,1.98
185,71,1.97
186,71,1.96
187,70,1.96
188,70,1.96
189,69,2.12
190,68,2.34
191,67,2.39
192,66,2.35
193,65,2.26
194,66,2.18
195,67,2.15
196,68,2.14
197,70,2.13
198,72,2.16
199,74,2.14
200,75,2.11
201,76,2.08
202,75,2.06
203,75,2.04
204,74,2.02
205,73,2.04
206,73,2.06
207,73,2.07
208,73,2.05
209,72,2.04
210,72,2.01
211,71,2.01
212,70,2.0
213,70,1.99
214,70,1.99
215,71,1.98
216,71,1.98
217,71,1.98
218,70,1.97
219,69,2.08
220,69,2.31
221,70,2.37
222,71,2.33
223,71,2.26
224,71,2.26
225,70,2.41
226,70,2.43
227,69,2.44
228,68,2.49
229,68,2.46
230,68,2.41
231,68,2.33
232,68,2.25
233,69,2.22
234,70,2.22
235,72,2.21
236,74,2.19
237,75,2.19
238,75,2.26
239,75,2.31
240,73,2.3
241,72,2.28
242,70,2.25
243,69,2.22
244,68,2.21
245,69,2.2
246,70,2.19
247,71,2.18
248,71,2.18
249,72,2.18
250,71,2.17
251,71,2.16
252,69,2.16
253,68,2.15
254,67,2.14
255,68,2.13
256,69,2.12
257,70,2.12
258,70,2.11
259,70,2.11
260,70,2.11
261,69,2.12
262,69,2.12
263,68,2.12
264,67,2.12
265,67,2.12
266,67,2.13
267,67,2.13
268,68,2.16
269,69,2.22
270,70,2.26
271,69,2.34
272,69,2.39
273,68,2.46
274,68,2.7
275,67,2.72
276,66,2.69
277,66,2.62
278,65,2.54
279,65,2.45
280,65,2.37
281,64,2.32
282,64,2.33
283,63,2.45
284,62,2.61
285,61,2.68
286,60,2.67
287,59,2.61
288,59,2.53
289,60,2.46
290,62,2.4
291,64,2.37
292,67,2.35
293,69,2.33
294,71,2.32
295,72,2.3
296,71,2.29
297,70,2.28
298,69,2.26
299,68,2.26
300,66,2.26
301,65,2.26
302,64,2.27
303,63,2.28
304,64,2.28
305,64,2.28
306,65,2.28
307,65,2.28
308,66,2.29
309,66,2.36
310,66,2.39
311,66,2.4
312,66,2.42
313,65,2.41
314,65,2.39
315,65,2.37
316,65,2.35
317,66,2.33
318,66,2.33
319,67,2.32
320,67,2.32
321,67,2.31
322,68,2.3
323,68,2.29
324,67,2.32
325,66,2.35
326,65,2.35
327,64,2.34
328,64,2.33
329,65,2.33
330,66,2.37
331,67,2.44
332,68,2.49
333,68,2.5
334,68,2.48
335,66,2.45
336,65,2.42
337,63,2.39
338,62,2.47
339,62,2.61
340,63,2.62
341,65,2.61
342,67,2.59
343,69,2.57
344,70,2.59
345,72,2.67
346,74,2.75
347,75,2.74
348,76,2.71
349,76,2.83
350,75,2.93
351,73,2.98
352,72,3.02
353,70,3.09
354,69,3.1
355,69,3.05
356,69,2.95
357,70,2.86
358,69,2.8
359,68,2.76
360,67,2.76
361,66,2.8
362,65,2.94
363,65,3.17
364,64,3.22
365,64,3.19
366,64,3.1
367,65,3.02
368,66,3.04
369,67,3.1
370,68,3.42
371,68,3.76
372,69,3.74
373,69,3.68
374,68,3.89
375,67,4.32
376,66,4.78
377,66,5.12
378,66,5.26
379,67,5.19
380,68,4.97
381,69,4.97
382,70,5.19
383,72,5.36
384,74,5.5
385,76,5.62
386,78,5.58
387,80,5.38
388,83,5.11
389,86,5.15
390,88,5.36
391,91,5.26
392,92,5.1
393,92,4.84
394,92,4.69
395,91,4.69
396,89,4.62
397,88,4.51
398,86,4.37
399,84,4.32
400,82,4.55
401,82,4.7
402,81,4.66
403,81,4.56
404,80,4.42
405,79,4.34
406,78,4.34
407,78,4.33
408,77,4.34
409,77,4.47
410,76,4.48
411,75,4.4
412,75,4.29
413,74,4.18
414,74,4.1
415,73,4.03
416,72,3.99
417,71,3.97
418,69,3.96
419,68,3.96
420,67,3.95
421,67,4.04
422,67,4.39
423,67,4.6
424,68,4.57
425,68,4.45
426,68,4.34
427,68,4.28
428,68,4.27
429,68,4.31
430,69,4.39
431,69,4.41
432,70,4.41
433,70,4.65
434,70,4.81
435,71,4.85
436,71,4.86
437,71,4.88
438,72,5.0
439,74,5.09
440,75,5.21
441,76,5.3
442,77,5.3
