time,SkinResponse,Name
0,5.56,Subject001
1,5.51,Subject001
2,5.47,Subject001
3,5.47,Subject001
4,5.49,Subject001
5,5.47,Subject001
6,5.44,Subject001
7,5.41,Subject001
8,5.43,Subject001
9,5.51,Subject001
10,5.56,Subject001
11,5.58,Subject001
12,5.53,Subject001
13,5.48,Subject001
14,5.45,Subject001
15,5.43,Subject001
16,5.4,Subject001
17,5.38,Subject001
18,5.37,Subject001
19,5.35,Subject001
20,5.34,Subject001
21,5.32,Subject001
22,5.31,Subject001
23,5.33,Subject001
24,5.42,Subject001
25,5.45,Subject001
26,5.44,Subject001
27,5.43,Subject001
28,5.4,Subject001
29,5.37,Subject001
30,5.36,Subject001
31,5.36,Subject001
32,5.35,Subject001
33,5.32,Subject001
34,5.32,Subject001
35,5.3,Subject001
36,5.29,Subject001
37,5.29,Subject001
38,5.28,Subject001
39,5.27,Subject001
40,5.29,Subject001
41,5.33,Subject001
42,5.34,Subject001
43,5.33,Subject001
44,5.32,Subject001
45,5.29,Subject001
46,5.32,Subject001
47,5.32,Subject001
48,5.32,Subject001
49,5.31,Subject001
50,5.28,Subject001
51,5.28,Subject001
52,5.22,Subject001
53,5.2,Subject001
54,5.18,Subject001
55,5.16,Subject001
56,5.14,Subject001
57,5.12,Subject001
58,5.1,Subject001
59,5.1,Subject001
60,5.09,Subject001
61,5.08,Subject001
62,5.08,Subject001
63,5.06,Subject001
64,5.05,Subject001
65,5.04,Subject001
66,5.03,Subject001
67,5.02,Subject001
68,5.0,Subject001
69,4.98,Subject001
70,4.98,Subject001
71,4.96,Subject001
72,4.95,Subject001
73,4.94,Subject001
74,4.93,Subject001
75,4.92,Subject001
76,4.91,Subject001
77,4.91,Subject001
78,4.92,Subject001
79,4.92,Subject001
80,4.9,Subject001
81,4.89,Subject001
82,4.89,Subject001
83,4.89,Subject001
84,4.88,Subject001
85,4.88,Subject001
86,4.86,Subject001
87,4.86,Subject001
88,4.85,Subject001
89,4.85,Subject001
90,4.86,Subject001
91,4.9,Subject001
92,4.93,Subject001
93,4.93,Subject001
94,4.91,Subject001
95,4.9,Subject001
96,4.89,Subject001
97,4.88,Subject001
98,4.87,Subject001
99,4.86,Subject001
100,4.87,Subject001
101,4.87,Subject001
102,4.86,Subject001
103,4.86,Subject001
104,4.85,Subject001
105,4.85,Subject001
106,4.85,Subject001
107,4.84,Subject001
108,4.83,Subject001
109,4.83,Subject001
110,4.82,Subject001
111,4.82,Subject001
112,4.81,Subject001
113,4.81,Subject001
114,4.82,Subject001
115,4.81,Subject001
116,4.81,Subject001
117,4.81,Subject001
118,4.8,Subject001
119,4.79,Subject001
120,4.78,Subject001
121,4.77,Subject001
122,4.76,Subject001
123,4.76,Subject001
124,4.75,Subject001
125,4.75,Subject001
126,4.79,Subject001
127,4.85,Subject001
128,5.0,Subject001
129,5.36,Subject001
130,5.47,Subject001
131,5.38,Subject001
132,5.25,Subject001
133,5.16,Subject001
134,5.1,Subject001
135,5.06,Subject001
136,5.03,Subject001
137,5.01,Subject001
138,4.99,Subject001
139,4.96,Subject001
140,4.94,Subject001
141,4.93,Subject001
142,4.92,Subject001
143,4.9,Subject001
144,4.89,Subject001
145,4.88,Subject001
146,4.87,Subject001
147,4.86,Subject001
148,4.84,Subject001
149,4.83,Subject001
150,4.82,Subject001
151,4.8,Subject001
152,4.8,Subject001
153,4.8,Subject001
154,4.81,Subject001
155,4.82,Subject001
156,4.82,Subject001
157,4.81,Subject001
158,4.8,Subject001
159,4.79,Subject001
160,4.77,Subject001
161,4.76,Subject001
162,4.75,Subject001
163,4.74,Subject001
164,4.73,Subject001
165,4.72,Subject001
166,4.72,Subject001
167,4.73,Subject001
168,4.71,Subject001
169,4.71,Subject001
170,4.69,Subject001
171,4.69,Subject001
172,4.68,Subject001
173,4.68,Subject001
174,4.67,Subject001
175,4.66,Subject001
176,4.66,Subject001
177,4.65,Subject001
178,4.65,Subject001
179,4.65,Subject001
180,4.64,Subject001
181,4.63,Subject001
182,4.63,Subject001
183,4.62,Subject001
184,4.62,Subject001
185,4.61,Subject001
186,4.61,Subject001
187,4.61,Subject001
188,4.64,Subject001
189,4.66,Subject001
190,4.73,Subject001
191,4.96,Subject001
192,5.37,Subject001
193,5.45,Subject001
194,5.33,Subject001
195,5.19,Subject001
196,5.1,Subject001
197,5.05,Subject001
198,5.01,Subject001
199,4.98,Subject001
200,4.96,Subject001
201,4.94,Subject001
202,4.92,Subject001
203,4.9,Subject001
204,4.9,Subject001
205,4.89,Subject001
206,4.88,Subject001
207,4.88,Subject001
208,4.89,Subject001
209,5.18,Subject001
210,5.64,Subject001
211,5.85,Subject001
212,6.03,Subject001
213,5.94,Subject001
214,5.74,Subject001
215,5.85,Subject001
216,5.9,Subject001
217,5.92,Subject001
218,5.95,Subject001
219,6.17,Subject001
220,6.21,Subject001
221,6.02,Subject001
222,5.84,Subject001
223,5.89,Subject001
224,6.36,Subject001
225,6.46,Subject001
226,6.22,Subject001
227,6.0,Subject001
228,5.87,Subject001
229,5.75,Subject001
230,5.88,Subject001
231,6.02,Subject001
232,5.94,Subject001
233,5.82,Subject001
234,5.72,Subject001
235,5.63,Subject001
236,5.62,Subject001
237,5.57,Subject001
238,5.56,Subject001
239,5.65,Subject001
240,5.63,Subject001
241,5.62,Subject001
242,5.57,Subject001
243,5.56,Subject001
244,6.12,Subject001
245,6.24,Subject001
246,6.08,Subject001
247,6.07,Subject001
248,6.12,Subject001
249,5.98,Subject001
250,5.8,Subject001
251,5.69,Subject001
252,5.71,Subject001
253,5.67,Subject001
254,5.9,Subject001
255,6.22,Subject001
256,6.15,Subject001
257,5.92,Subject001
258,5.82,Subject001
259,5.77,Subject001
260,5.77,Subject001
261,5.91,Subject001
262,5.99,Subject001
263,6.24,Subject001
264,6.55,Subject001
265,6.49,Subject001
266,6.24,Subject001
267,6.04,Subject001
268,6.25,Subject001
269,6.28,Subject001
270,6.15,Subject001
271,5.95,Subject001
272,5.83,Subject001
273,5.82,Subject001
274,5.8,Subject001
